city	region	country
Поти	Самегрело-Земосванети	Грузия
Астана	Акмолинская область	КАЗАХСТАН
Державинск	Акмолинская область	КАЗАХСТАН
Домбыралы	Акмолинская область	КАЗАХСТАН
Есиль	Акмолинская область	КАЗАХСТАН
Жаксынский жаксы	Акмолинская область	КАЗАХСТАН
Зеренда	Акмолинская область	КАЗАХСТАН
Кокшетау	Акмолинская область	КАЗАХСТАН
Красный Яр	Акмолинская область	КАЗАХСТАН
Макинск	Акмолинская область	КАЗАХСТАН
Максимовка	Акмолинская область	КАЗАХСТАН
Степногорск	Акмолинская область	КАЗАХСТАН
Щучинск	Акмолинская область	КАЗАХСТАН
Актобе	Актюбинская область	КАЗАХСТАН
Алма-Ата	Алматинская область	КАЗАХСТАН
Алматы	Алматинская область	КАЗАХСТАН
Зыряновск	Восточно-Казахстанская	КАЗАХСТАН
Усть-Каменогорск	Восточно-Казахстанская область	КАЗАХСТАН
Бауыржан-Момышулы	Жамбылская область	КАЗАХСТАН
Кушум	Западно-Казахстанская область	КАЗАХСТАН
Караганда	Карагандинская область	КАЗАХСТАН
Арка	Костанайская область	КАЗАХСТАН
Аркалык	Костанайская область	КАЗАХСТАН
Аулиеколь	Костанайская область	КАЗАХСТАН
Бестобе	Костанайская область	КАЗАХСТАН
Боровское	Костанайская область	КАЗАХСТАН
Глазуновка	Костанайская область	КАЗАХСТАН
Жарколь	Костанайская область	КАЗАХСТАН
Житикара	Костанайская область	КАЗАХСТАН
Заречное	Костанайская область	КАЗАХСТАН
Затобольск	Костанайская область	КАЗАХСТАН
Карабалык	Костанайская область	КАЗАХСТАН
Караменды	Костанайская область	КАЗАХСТАН
Карасу	Костанайская область	КАЗАХСТАН
Каскат	Костанайская область	КАЗАХСТАН
Койбагар	Костанайская область	КАЗАХСТАН
Костанай	Костанайская область	КАЗАХСТАН
Костонай	Костанайская область	КАЗАХСТАН
Кустанай	Костанайская область	КАЗАХСТАН
Лисаковск	Костанайская область	КАЗАХСТАН
Лисаковский	Костанайская область	КАЗАХСТАН
Майское	Костанайская область	КАЗАХСТАН
Михайловка	Костанайская область	КАЗАХСТАН
Мичурино	Костанайская область	КАЗАХСТАН
Молодежное	Костанайская область	КАЗАХСТАН
Рудный	Костанайская область	КАЗАХСТАН
Сарыколь	Костанайская область	КАЗАХСТАН
Суворово	Костанайская область	КАЗАХСТАН
Шолаксай	Костанайская область	КАЗАХСТАН
Заречный	Кустанайская область	КАЗАХСТАН
Аксу	Павлодарская область	КАЗАХСТАН
Экибастуз	Павлодарская область	КАЗАХСТАН
Ленинградское	Северо-Казахстанская	КАЗАХСТАН
Мамлютка	Северо-Казахстанская	КАЗАХСТАН
Новоишимское	Северо-Казахстанская	КАЗАХСТАН
Петропавловск	Северо-Казахстанская	КАЗАХСТАН
Тайынша	Северо-Казахстанская	КАЗАХСТАН
