number	name	type	city	region	country
	Публичная школа № 4	Средняя общеобразовательная школа	Поти	Самегрело-Земосванети	Грузия
	Алматинский индустриальный колледж	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	АО Финансовая академия	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	ГУ Гимназия №5	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
	Евразийский национальный университет им. Л.Н. Гумилева	Университет	Астана	Акмолинская область	КАЗАХСТАН
	Казахская инженерно-техническая академия	Академия	Астана	Акмолинская область	КАЗАХСТАН
	Колледж АО КАТУ им С. Сейфуллина	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	колледж АО Финансовая Академия	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	Колледж Транспорта и Коммуникаций	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	Политехнический колледж	Колледж	Астана	Акмолинская область	КАЗАХСТАН
	Школа гимназия №63	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
	школа лицей №62	Лицей	Астана	Акмолинская область	КАЗАХСТАН
	Школа-гимназия № 30	Средняя общеобразовательная школа	Астана	Акмолинская область	КАЗАХСТАН
	Экономический лицей	Лицей	Астана	Акмолинская область	КАЗАХСТАН
1	школа-лицей	Лицей	Астана	Акмолинская область	КАЗАХСТАН
16	Средняя школа №16 имени Толегена Айбергенова	Средняя общеобразовательная школа	Астана	Акмолинская область	КАЗАХСТАН
2	школа-гимназия	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
27	№27	Лицей	Астана	Акмолинская область	КАЗАХСТАН
32	Школа-Гимназия 32	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
4	Колледж менеджмента и бизнеса	Колледж	Астана	Акмолинская область	КАЗАХСТАН
46	ГУ Комплекс Десткий-сад-школа гимназия 46	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
5	Гимназия	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
6	№6	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
62	Школа-лицей №62	Лицей	Астана	Акмолинская область	КАЗАХСТАН
75	№75	Гимназия	Астана	Акмолинская область	КАЗАХСТАН
	Н.Крупской	Средняя общеобразовательная школа	Державинск	Акмолинская область	КАЗАХСТАН
	Средняя школа-сад им.Горького	Средняя общеобразовательная школа	Домбыралы	Акмолинская область	КАЗАХСТАН
5	ГУ Средняя школа-сад им.Горького	Средняя общеобразовательная школа	Домбыралы	Акмолинская область	КАЗАХСТАН
	Есильская средняя школа имени Сайлау Серикова	Средняя общеобразовательная школа	Есиль	Акмолинская область	КАЗАХСТАН
	Есильская СШ им. С.Серикова Акмолинской области	Средняя общеобразовательная школа	Есиль	Акмолинская область	КАЗАХСТАН
